filename,chapter_name,precision,recall,f1,true_positives,predicted_keywords,ground_truth
ch1.txt,Chapter 1,0.65,0.13978494623655913,0.2300884955752212,"['unsupervised learning', 'online learning', 'instance-based learning', 'feature engineering', 'model-based learning', 'clustering', 'overfitting', 'supervised learning', 'batch learning', 'reinforcement learning', 'machine learning', 'underfitting', 'regularization']","['Machine Learning', 'supervised learning', 'unsupervised learning', 'spam filter', 'training set', 'model-based learning', 'instance-based learning', 'overfitting', 'underfitting', 'regularization', 'hyperparameter', 'validation set', 'test set', 'reinforcement learning', 'online learning', 'batch learning', 'feature engineering', 'dimensionality reduction', 'clustering', 'regression']","['cross-validation', 'agents', 'clustering algorithms', 'hierarchical clustering algorithms', 'importance of data over', 'supervised learning', 'unsupervised learning', 'visualization algorithms', 'anomaly detection', 'restricted Boltzmann machines', 'RBMs', 'association rule learning', 'attributes', 'batch learning', 'Better Life Index', 'causal models', 'classification MLPs', 'corpus development', 'data mismatch', 'importance of over algorithms', 'noisy data', 'deep belief networks', 'DBNs', 'overfitting', 'development sets', 'dev sets', 'feature engineering', 'feature extraction', 'feature selection', 'features', 'final trained models', 'fitness functions', 'fully-specified model architecture', 'generalization error', 'hold outs', 'holdout validation', 'hyperparameters', 'hyperparameter tuning', 'learning rate', 'incremental learning', 'inference', 'instance-based learning', 'k-Nearest Neighbors regression', 'labels', 'linear models', 'classification with', 'Machine Learning', 'ML', 'testing and validating', 'measure of similarity', 'mini-batches', 'model parameters', 'model selection', 'model-based learning', 'training', 'No Free Lunch', 'NFL', 'novelty detection', 'offline learning', 'online learning', 'Optical Character Recognition', 'OCR', 'out-of-core learning', 'out-of-sample error', 'penalties', 'policies', 'prediction problems', 'regression problems', 'regularization', 'Reinforcement Learning', 'RL', 'responsibilities', 'clustering', 'rewards', 'sampling bias', 'sampling noise', 'linear model', 'semi-supervised learning', 'spam filters', 'test sets', 'train-dev sets', 'training data', 'irrelevant features', 'nonrepresentative', 'poor quality', 'underfitting', 'training instances', 'training samples', 'training sets', 'algorithms covered', 'common tasks', 'utility functions', 'validation sets']"
ch13.txt,Chapter 13,0.3,0.11538461538461539,0.16666666666666669,"['embedding', 'tfds', 'tf transform', 'preprocessing', 'data api', 'prefetching']","['TensorFlow', 'Data API', 'TFRecord', 'preprocessing', 'dataset', 'tf.data.Dataset', 'multithreading', 'batching', 'prefetching', 'one-hot encoding', 'embedding', 'TF Transform', 'TFDS', 'Apache Beam', 'Keras', 'Gradient Descent', 'serialization', 'protobuf', 'categorical features', 'normalization']","['bag of words', 'encoding using embeddings', 'encoding using one-hot vectors', 'chaining transformations', 'helper function creation', 'prefetching', 'preprocessing', 'shuffling', 'using datasets with tf.Keras', 'TensorFlow Data API', 'prefetching data', 'preprocessing data', 'shuffling data', 'using datasets with tf.keras', 'datasets', 'embedding', 'embedding matrix', 'helper functions', 'preprocessing layers', 'lists of lists using SequenceExample Protobuf', 'memory bandwidth', 'CNNs', 'one-hot vectors', 'out-of-vocabulary', 'oov', 'pipelines', 'protocol buffers', 'protobufs', 'representation learning', 'SequenceExample protobuf', 'shuffling-buffer approach', 'TensorFlow Extended', 'TFX', 'Data API', 'preprocessing input features', 'TensorFlow Datasets', 'TFDS', 'TF Transform', 'TFRecord format', 'Term-Frequency × Inverse-Document-Frequency', 'TF-IDF', 'TF Datasets', 'tf.Transform', 'tf.keras', 'compressed TFRecord files', 'lists of lists using SequenceExample Proto‐buf', 'loading and parsing examples', 'TensorFlow protobufs', 'training/serving skew', 'chaining', 'vocabulary', 'voice recognition', 'word embeddings']"
ch14.txt,Chapter 14,0.5263157894736842,0.11363636363636363,0.18691588785046728,"['alexnet', 'resnet', 'googlenet', 'yolo', 'vggnet', 'senet', 'semantic segmentation', 'lenet-5', 'xception', 'object detection']","['Deep Computer Vision', 'Convolutional Neural Networks', 'CNNs', 'image recognition', 'visual cortex', 'TensorFlow', 'Keras', 'object detection', 'semantic segmentation', 'David H. Hubel', 'Torsten Wiesel', 'LeNet-5', 'AlexNet', 'GoogLeNet', 'ResNet', 'VGGNet', 'Xception', 'SENet', 'YOLO']","['softmax', 'adversarial learning', 'AlexNet', 'anchor boxes', 'autonomous driving systems', 'average pooling layer', 'Average Precision', 'AP', 'bottleneck layers', 'bounding box priors', 'classification and localization', 'color channels', 'convolution kernels', 'convolutional layer', 'filters', 'memory requirements', 'stacking multiple feature maps', 'TensorFlow implementation', 'architecture of visual cortex', 'CNN architectures', 'object detection', 'pooling layer', 'pretrained models for transfer learning', 'pretrained models from Keras', 'ResNet-34 using Keras', 'semantic segmentation', 'data augmentation', 'depth concat layer', 'depth radius', 'depthwise separable convolution', 'equivariance', 'feature maps', 'fully convolutional networks', 'FCNs', 'global average pooling layer', 'GoogLeNet', 'image generation', 'instance segmentation', 'invariance', 'implementing ResNet-34 with', 'using pretrained models from', 'LeNet-5', 'local response normalization', 'localization', 'Mask R-CNN', 'max pooling layer', 'mean Average Precision', 'mAP', 'mean average precision', 'RNNS', 'non-max suppression', 'You Only Look Once', 'YOLO', 'objectness output', 'pooling kernel', 'pretraining', 'models from Keras', 'recurrent neural networks', 'RNNs', 'Region Proposal Network', 'RPN', 'residual learning', 'residual units', 'ResNet', 'Residual Network', 'ResNet-34 CNN', 'SE block', 'SE-Inception', 'SE-ResNet', 'SENet', 'Squeeze-and-Excitation Network', 'separable convolution', 'sequences', 'shortcut connections', 'single-shot learning', 'skip connections', 'softmax function', 'stride', 'subsampling', 'convolution operations', 'convolutional layers', 'transfer learning', 'transposed convolutional layer', 'upsampling layer', 'VGGNet', 'WordTrees', 'Xception', 'Extreme Inception', 'zero padding', 'ZF Net']"
ch15.txt,Chapter 15,0.45,0.15,0.22500000000000003,"['backpropagation through time', 'natural language processing', 'wavenet', 'gru', 'forecasting', '1d convolutional layers', 'memory cells', 'lstm', 'deep rnns']","['RNNs', 'CNNs', 'recurrent neural networks', 'time series', 'stock prices', 'autonomous driving', 'natural language processing', 'backpropagation through time', 'unstable gradients', 'LSTM', 'GRU', 'WaveNet', 'sequences', 'memory cells', 'sequence-to-sequence', 'encoder-decoder', 'forecasting', 'deep RNNs', '1D convolutional layers', 'attention mechanisms']","['1D convolutional layers', 'recurrent', 'autoregressive integrated moving average', 'ARIMA', 'backpropagation through time', 'BPTT', 'basic cells', 'causal models', 'chatbots', 'mean squared error', 'decoders', 'differencing', 'encoders', 'Encoder–Decoder model', 'forecasting', 'forget gate', 'gate controllers', 'Gated Recurrent Unit', 'GRU', 'imputation', 'input and output sequences', 'input gate', 'Layer Normalization', '1D convolutional layer', 'Logit Regression', 'see Logistic Regression', 'long sequences short-term memory problems', 'unstable gradients problem', 'Long Short-Term Memory', 'LSTM', 'memory cells', 'sequence-to-sequence models', 'training', 'multivariate time series', 'naive forecasting', 'natural language processing', 'NLP', 'recurrent neurons', 'output gate', 'peephole connections', 'forecasting time series', 'handling long sequences', 'recurrent neurons and layers', 'stateless and stateful', 'sequence-to-vector networks', 'handling long', 'input and output', 'short-term memory problems', 'time series data', 'baseline metrics', 'deep RNNS', 'forecasting several steps ahead', 'simple RNNs', 'time step', 'Turing test', 'univariate time series', 'unrolling the network through time', 'vector-to-sequence networks', 'WaveNet', 'weighted moving average model']"
ch16.txt,Chapter 16,0.2,0.04938271604938271,0.07920792079207921,"['neural machine translation', 'attention mechanisms', 'sentiment analysis', 'natural language processing']","['Natural Language Processing', 'RNNs', 'Attention', 'Turing test', 'chatbot', 'recurrent neural networks', 'character RNN', 'TensorFlow Dataset', 'stateless RNN', 'stateful RNN', 'sentiment analysis', 'Encoder–Decoder architecture', 'neural machine translation', 'seq2seq API', 'attention mechanisms', 'Transformer', 'GPT-2', 'BERT', 'Shakespearean Text', 'Char-RNN']","['softmax', 'additive attention', 'attention mechanism', 'explainability and', 'Transformer architecture', 'visual attention', 'autoencoders', 'Bahdanau attention', 'beam search', 'beam width', 'bidirectional recurrent layers', 'bidirectional RNNs', 'Byte-Pair Encoding', 'character RNNs', 'Char-RNNs', 'building and training', 'chopping sequential datasets', 'generating Shakespearean text', 'splitting sequential datasets', 'stateful RNNs and', 'training dataset creation', 'concatenative attention', 'conditional probability', 'loss functions', 'flat datasets', 'Google News 7B corpus', 'Internet Movie Database', 'nested datasets', 'dense vectors', 'dot product', 'Embedded Reber grammars', 'Encoder–Decoder model', 'end-of-sequence', 'EoS', 'entailment', 'explainability', 'StyleGANs', 'language models', 'latent representations', 'bidirectional recurrent layer', 'Masked Multi-Head Attention layer', 'Multi-Head Attention layer', 'Scaled Dot-Product Attention layer', 'see cost functions', 'mask tensors', 'masked language model', 'MLM', 'masking', 'modules', 'multiplicative attention', 'natural language processing', 'NLP', 'attention mechanisms', 'Encoder–Decoder network', 'generating text using character RNNs', 'sentiment analysis', 'neural machine translation', 'NMT', 'next sentence prediction', 'NSP', 'positional encodings', 'reusing pretrained embeddings', 'generating text using character RNNS', 'stateless and stateful', 'regular expressions', 'sampled softmax technique', 'self-attention mechanism', 'sentence encoders', 'softmax function', 'start of sequence', 'SoS', 'temperature', 'TensorFlow Addons', 'TensorFlow Hub', 'testing and validation', 'text generation', 'TF.Text library', 'tokenization', 'truncated backpropagation through time', 'word tokenization', 'zero-shot learning', 'ZSL']"
ch17.txt,Chapter 17,0.5,0.12987012987012986,0.20618556701030924,"['recurrent autoencoders', 'stylegans', 'variational autoencoders', 'denoising autoencoders', 'unsupervised pretraining', 'sparse autoencoders', 'stacked autoencoders', 'convolutional autoencoders', 'autoencoders', 'mode collapse']","['Autoencoders', 'Generative Adversarial Networks (GANs)', 'Representation Learning', 'Dimensionality Reduction', 'Latent Representations', 'Unsupervised Pretraining', 'Generative Models', 'StyleGAN', 'Super Resolution', 'Adversarial Training', 'Deep Learning', 'Variational Autoencoders', 'Denoising Autoencoders', 'Sparse Autoencoders', 'Stacked Autoencoders', 'Convolutional Autoencoders', 'Recurrent Autoencoders', 'Mode Collapse', 'Progressive Growing of GANs', 'StyleGANs']","['adaptive instance normalization', 'AdaIN', 'adversarial learning', 'affine transformations', 'autoencoders', 'convolutional', 'denoising', 'efficient data representations', 'generative', 'versus Generative Adversarial Networks', 'GANs', 'PCA with undercomplete linear autoencoders', 'probabilistic', 'recurrent', 'sparse', 'stacked', 'undercomplete', 'unsupervised pretraining using stacked', 'variational', 'Bayesian inference', 'convolutional autoencoders', 'mean squared error', 'Fashion MNIST dataset', 'visualizing Fashion MNIST Dataset', 'visualizing reconstructions', 'decoders', 'deep autoencoders', 'deep convolutional GANs', 'denoising autoencoders', 'discriminators', 'encoders', 'equalized learning rates', 'experience replay', 'Generative Adversarial Networks', 'DCGANs', 'difficulties of training', 'StyleGANs', 'generative autoencoders', 'generative network', 'generators', 'greedy layer-wise training', 'learning rate', 'stacked autoencoders', 'latent loss', 'minibatch standard deviation layer', 'linear autoencoders', 'mean coding', 'minibatch discrimination', 'mixing regularization', 'mode collapse', 'Nash equilibrium', 'normalization', 'overcomplete autoencoders', 'pattern matching', 'undercomplete linear autoencoders', 'pixelwise normalization layers', 'unsupervised pretraining', 'using stacked autoencoders', 'probabilistic autoencoders', 'recognition network', 'reconstruction loss', 'reconstructions', 'recurrent autoencoders', 'Reinforcement Learning', 'RL', 'semantic interpolation', 'sparse autoencoders', 'sparsity', 'sparsity loss', 'stacked denoising autoencoders', 'using Keras', 'style mixing', 'style transfer', 'tying weights', 'undercomplete autoencoders', 'pretraining using stacked autoencoders', 'variational autoencoders']"
ch18.txt,Chapter 18,0.35,0.07142857142857142,0.11864406779661017,"['q-learning', 'markov decision processes', 'deep q-learning', 'policy gradients', 'deep q-networks', 'tf-agents library', 'openai gym']","['Reinforcement Learning', 'DeepMind', 'Atari games', 'AlphaGo', 'Deep Learning', 'policy gradients', 'deep Q-networks', 'Markov decision processes', 'TF-Agents library', 'rewards', 'agent', 'environment', 'exploration', 'Q-Learning', 'Deep Q-Learning', 'neural network policy', 'OpenAI Gym', 'replay buffer', 'discount factor', 'training loop']","['A/B experiments', 'action advantage', 'action step', 'evaluating', 'exploiting versus exploring', 'Actor-Critic algorithms', 'Advantage Actor-Critic', 'A2C', 'Asynchronous Advantage Actor-Critic', 'A3C', 'Dueling DQN algorithm', 'genetic algorithms', 'off-policy algorithms', 'on-policy algorithms', 'Proximal Policy Optimization', 'PPO', 'REINFORCE algorithms', 'Soft Actor-Critic algorithm', 'Value Iteration algorithm', 'Approximate Q-Learning', 'Atari preprocessing', 'batched action step', 'batched time step', 'batched trajectory', 'Bellman Optimality Equation', 'boundary transitions', 'catastrophic forgetting', 'collect policy', 'mean squared error', 'credit assignment problem', 'curiosity-based exploration', 'training loops', 'datasets', 'Deep Q-Learning', 'Double DQN', 'Dueling DQN', 'fixed Q-Value targets', 'prioritized experience replay', 'deep Q-networks', 'DQNs', 'deques', 'discount factors', 'Double Dueling DQN', 'DQN agents', 'Dynamic Programming', 'exploration policy', 'importance sampling', 'IS', 'Markov chains', 'Markov Decision Processes', 'MDP', 'installing', 'observers', 'online model', 'OpenAI Gym', 'optimal state value', 'policies', 'policy gradients', 'PG', 'policy parameters', 'policy search', 'policy space', 'PER', 'Q-Learning', 'Approximate Q-Learning and Deep Q- Learning', 'implementing', 'Q-Value Iteration', 'Q-Values', 'queries per second', 'QPS', 'Rainbow agent', 'evaluating actions', 'neural network policies', 'optimizing rewards', 'Temporal Difference Learning', 'TF-Agents library', 'replay buffers', 'replay memory', 'sample inefficiency', 'simulated environments', 'state-action values', 'stochastic policy', 'target model', 'TD error', 'TD target', 'TD Learning', 'TensorFlow model deployment at scale', 'terminal state', 'collect driver', 'environment specifications', 'environment wrappers', 'environments', 'replay buffer and observer', 'training architecture', 'training metrics', 'trajectories', 'trajectory', 'undiscounted rewards']"
ch19.txt,Chapter 19,0.1,0.01680672268907563,0.02877697841726619,"['model parallelism', 'data parallelism']","['TensorFlow', 'TF Serving', 'model deployment', 'REST API', 'gRPC API', 'SavedModel', 'MirroredStrategy', 'data parallelism', 'model parallelism', 'Google Cloud AI Platform', 'hyperparameter tuning', 'TFLite', 'quantization', 'GPU', 'TPU', 'distributed training', 'cloud service', 'Bayesian optimization', 'machine learning', 'neural network']","['active constraint', 'AI Platform', 'AllReduce algorithm', 'dynamic placer algorithm', 'Boltzmann machines', 'Hopfield networks', 'restricted Boltzmann machines', 'RBMs', 'self-organizing maps', 'SOMs', 'associative memory networks', 'asynchronous updates', 'automatic differentiation', 'autodiff', 'bandwidth saturation', 'canary testing', 'cluster specification', 'Colab Runtime', 'Colaboratory', 'Colab', 'complementary slackness', 'Compute Unified Device Architecture library', 'CUDA', 'concrete functions', 'Contrastive Divergence', 'CUDA Deep Neural Network library', 'cuDNN', 'computing gradients using Autodiff', 'data parallelism', 'data preparation', 'deep belief networks', 'DBNs', 'Deep Learning VM Images', 'Distribution Strategies API', 'dual numbers', 'dual problem', 'embedded devices', 'energy function', 'data downloading', 'data visualization', 'framing the problem', 'launching monitoring and maintaining', 'Machine Learning project checklist', 'model fine-tuning', 'model selection and training', 'exercise solutions', 'fake quantization', 'finite difference approximation', 'forward-mode autodiff', 'function definitions', 'function graphs', 'generalized Lagrangian', 'prediction service creation', 'prediction service use', 'Google Cloud Storage', 'GCS', 'GPUs', 'graphics processing units', 'GPU-equipped virtual machines', 'managing GPU RAM', 'parallel execution across multiple devices', 'placing operations and variables on devices', 'selecting', 'speeding computations with', 'hidden units', 'inequality constraints', 'input signatures', 'inter-op thread pool', 'intra-op thread pool', 'JupyterLab', 'Karush–Kuhn–Tucker', 'KKT', 'Lagrange multipliers', 'logical GPU devices', 'manual differentiation', 'metagraphs', 'mirrored strategy', 'ML Engine', 'mobile devices', 'model parallelism', 'training across multiple devices', 'stochastic neurons', ""Newton's difference quotient"", 'NVIDIA Collective Communications Library', 'NCCL', 'Nvidia GPU cards', 'parameter servers', 'post-training quantization', 'creating on GCP AI', 'quantization-aware training', 'queues', 'ragged tensors', 'reverse-mode autodiff', 'SavedModel format', 'service account', 'sets', 'spare replicas', 'sparse tensors', 'spurious patterns', 'stale gradients', 'stationary point', 'string tensors', 'symbolic differentiation', 'symbolic tensors', 'synchronous updates', 'temperature', 'tensor arrays', 'TensorFlow cluster', 'special data structures', 'AutoGraph and tracing', 'deploying to mobile and embedded devices', 'serving TensorFlow models', 'training models across multiple devices', 'using GPUs to speed computations', 'graphs generated by', 'thermal equilibrium', 'virtual GPU devices', 'visible units', 'warmup phase']"
ch2.txt,Chapter 2,0.2,0.046511627906976744,0.07547169811320754,"['data visualization', 'feature scaling', 'fine-tuning', 'transformation pipelines']","['Machine Learning Project', 'data scientist', 'real estate company', 'big picture', 'data visualization', 'Machine Learning algorithms', 'model training', 'fine-tuning', 'solution presentation', 'system maintenance', 'real data', 'open datasets', 'California Housing Prices', 'census data', 'median housing price', 'performance measure', 'Root Mean Square Error (RMSE)', 'Mean Absolute Error (MAE)', 'feature scaling', 'transformation pipelines']","['cross-validation', 'evaluating', 'average absolute deviation', 'California Housing Prices dataset', 'MNIST dataset', 'components', 'correlation coefficient', 'mean absolute error', 'MAE', 'downloading', 'geographical data', 'data preparation', 'custom transformers', 'data cleaning', 'feature scaling', 'handling text and categorical attributes', 'transformation pipelines', 'data snooping bias', 'attribute combinations', 'computing correlations', 'test training and exploration sets', 'duck typing', 'dummy attributes', 'embedding', 'estimators', 'Euclidean norm', 'data downloading', 'data visualization', 'framing the problem', 'launching monitoring and maintaining', 'Machine Learning project checklist', 'model fine-tuning', 'model selection and training', 'project goals', 'selecting performance measure', 'verifying assumptions', 'exploration sets', 'folds', 'histograms', 'hyperparameter tuning', 'isolated environments', 'K-fold cross-validation', 'labels', 'Machine Learning', 'ML', 'Manhattan norm', 'RMSE', 'min-max scaling', 'model selection', 'fine-tuning', 'training', 'multiple regression problems', 'multivariate regression problems', 'normalization', 'dense arrays', 'installing', 'serializing large arrays', 'one-hot encoding', 'one-hot vectors', ""Pearson's r"", 'pipelines', 'predictors', 'univariate regression problems', 'representation learning', 'Root Mean Square Error', 'converting text to numbers', 'dataset dictionary structure', 'design principles', 'GridSearchCV', 'K-fold cross-validation feature', 'mean_squared_error function', 'missing value handling', 'saving models', 'splitting datasets into subsets', 'stratified sampling', 'transformation sequences', 'transformers and', 'sparse matrix', 'standard correlation coefficient', 'standardization', 'tail-heavy histograms', 'deploying on AI platforms', 'test sets', 'example project', 'transformations', 'workspace creation']"
ch3.txt,Chapter 3,0.47368421052631576,0.19148936170212766,0.2727272727272727,"['multilabel classification', 'precision', 'f1 score', 'multiclass classification', 'roc curve', 'cross-validation', 'multioutput classification', 'confusion matrix', 'recall']","['classification', 'supervised learning', 'MNIST dataset', 'Scikit-Learn', 'binary classifier', 'Stochastic Gradient Descent (SGD)', 'cross-validation', 'confusion matrix', 'precision', 'recall', 'F1 score', 'precision/recall trade-off', 'ROC curve', 'RandomForestClassifier', 'multiclass classification', 'one-versus-the-rest (OvR)', 'one-versus-one (OvO)', 'multilabel classification', 'multioutput classification']","['accuracy', 'cross-validation', 'area under the curve', 'AUC', 'binary classifiers', 'error analysis', 'multiclass classification', 'multilabel classification', 'multioutput classification', 'performance measures', 'confusion matrix', 'skewed datasets', 'decision function', 'F1 score', 'false positive rate', 'FPR', 'folds', 'Gradient Descent', 'GD', 'Stochastic Gradient Descent', 'harmonic mean', 'K-fold cross-validation', 'approaches to training', 'precision', 'recall', 'ROC curve', 'multinomial classifiers', 'randint() function', 'one-versus-all', 'OvA', 'one-versus-one', 'OvO', 'one-versus-the-rest', 'OvR', 'online learning', 'SGD', 'receiver operating characteristic', 'ROC', 'computing classifier metrics', 'cross_val_score() function', 'SGDClassifier class', 'sensitivity', 'training models', 'true negative rate', 'TNR', 'true positive rate', 'TPR']"
